contact__c,Tenancy__r:Contract:PMS_Reference__c,role__c,start_date__c,end_date__c,external_id__c
0034J00000a4ZAiQAM,103239001001,2 Tenant,2008-12-14,,103239001001_0034J00000a4ZAiQAM
0034J00000a4YzoQAE,103241001001,2 Tenant,2003-06-01,,103241001001_0034J00000a4YzoQAE
0034J00000a4ZBWQA2,103241001001,4 Permitted Occupier,2003-06-01,,103241001001_0034J00000a4ZBWQA2
0034J00000a4ZBMQA2,103244001001,2 Tenant,2003-04-01,,103244001001_0034J00000a4ZBMQA2
0034J00000a4ZBlQAM,103244001001,4 Permitted Occupier,2003-04-01,,103244001001_0034J00000a4ZBlQAM
0034J00000a4YxaQAE,103246001001,2 Tenant,2003-08-01,,103246001001_0034J00000a4YxaQAE
0034J00000a4WdXQAU,103246001001,4 Permitted Occupier,2003-08-01,,103246001001_0034J00000a4WdXQAU
0034J00000a4ZBHQA2,103247001001,2 Tenant,2003-07-01,,103247001001_0034J00000a4ZBHQA2
0034J00000a4ZBbQAM,103247001001,2 Tenant,2003-07-01,,103247001001_0034J00000a4ZBbQAM
0034J00000a4YvGQAU,103248001001,5 Relevant Person,2005-06-01,,103248001001_0034J00000a4YvGQAU
0034J00000a4YqPQAU,103249001001,2 Tenant,2003-10-01,,103249001001_0034J00000a4YqPQAU
0034J00000a4YiDQAU,103249001001,4 Permitted Occupier,2003-10-01,,103249001001_0034J00000a4YiDQAU
0034J00000a4ZAsQAM,103250001001,2 Tenant,2003-08-01,,103250001001_0034J00000a4ZAsQAM
0034J00000a4ZC5QAM,103251001001,2 Tenant,2003-02-01,,103251001001_0034J00000a4ZC5QAM
0034J00000a4ZA0QAM,103251001001,4 Permitted Occupier,2003-02-01,,103251001001_0034J00000a4ZA0QAM
0034J00000a4Z55QAE,103251001001,4 Permitted Occupier,2003-02-01,,103251001001_0034J00000a4Z55QAE
0034J00000a4Yw3QAE,103251001001,4 Permitted Occupier,2003-02-01,,103251001001_0034J00000a4Yw3QAE
0034J00000a4YtvQAE,103252001001,2 Tenant,1990-01-01,,103252001001_0034J00000a4YtvQAE
0034J00000a4YyEQAU,103253001001,2 Tenant,2003-04-01,,103253001001_0034J00000a4YyEQAU
0034J00000a4ZBhQAM,103253001001,4 Permitted Occupier,2003-04-01,,103253001001_0034J00000a4ZBhQAM
0034J00000a4YYNQA2,103253001001,4 Permitted Occupier,2003-04-01,,103253001001_0034J00000a4YYNQA2
0034J00000a4Z7GQAU,103256001001,2 Tenant,2003-04-01,,103256001001_0034J00000a4Z7GQAU
0034J00000a4ZBCQA2,103257001001,2 Tenant,2003-04-01,,103257001001_0034J00000a4ZBCQA2
0034J00000a4ZBRQA2,103257001001,4 Permitted Occupier,2003-04-01,,103257001001_0034J00000a4ZBRQA2
0034J00000a4ZBgQAM,103257001001,4 Permitted Occupier,2003-04-01,,103257001001_0034J00000a4ZBgQAM
0034J00000a4ZAFQA2,103259001001,2 Tenant,2003-08-01,,103259001001_0034J00000a4ZAFQA2
0034J00000a4ZBDQA2,103261001001,2 Tenant,2005-02-01,,103261001001_0034J00000a4ZBDQA2
0034J00000a4Z1mQAE,103261001001,2 Tenant,2005-02-01,,103261001001_0034J00000a4Z1mQAE
0034J00000a4YiEQAU,103262001001,2 Tenant,2003-05-01,,103262001001_0034J00000a4YiEQAU
0034J00000a4Z8eQAE,103262001001,4 Permitted Occupier,2003-05-01,,103262001001_0034J00000a4Z8eQAE
0034J00000a4YyFQAU,103263001001,2 Tenant,2003-05-01,,103263001001_0034J00000a4YyFQAU
0034J00000a4YvUQAU,103263001001,4 Permitted Occupier,2003-05-01,,103263001001_0034J00000a4YvUQAU
0034J00000a4YujQAE,103264001001,2 Tenant,2003-05-01,,103264001001_0034J00000a4YujQAE
0034J00000a4YyyQAE,103264001001,2 Tenant,2003-05-01,,103264001001_0034J00000a4YyyQAE
0034J00000a4ZCZQA2,103264001001,2 Tenant,2003-05-01,,103264001001_0034J00000a4ZCZQA2
0034J00000a5FTzQAM,103264001001,2 Tenant,2003-05-01,,103264001001_0034J00000a5FTzQAM
0034J00000a4Z5ZQAU,103266001001,2 Tenant,2003-08-01,,103266001001_0034J00000a4Z5ZQAU
0034J00000a4ZCFQA2,103266001001,4 Permitted Occupier,2003-08-01,,103266001001_0034J00000a4ZCFQA2
