Id,Status__c,Tenancy__c,Parent_Tenancy
a24Nz000000vBpxIAE,Complete,8008d000000Yb9IAAS,
a24Nz000000vCUIIA2,Complete,800Nz0000048LxuIAE,
a24Nz000000vDRxIAM,Active,8008d000000YlHsAAK,
a24Nz000000vESrIAM,Complete,800Nz000001LrX7IAK,
a24Nz000000vGKzIAM,Complete,8008d000000YkWyAAK,
a24Nz000000vL6AIAU,Complete,8008d000000YeRgAAK,
a24Nz000000vV8jIAE,Complete,800Nz0000024fzlIAA,
a24Nz000000vVyLIAU,Complete,8008d000000YnJRAA0,
a24Nz000000vY09IAE,Active,8008d000000YeZzAAK,
a24Nz000000vapxIAA,Cancelled,8008d000000Y7kWAAS,
a24Nz000000vcerIAA,Closed - Tenant Retained,800Nz000000z900IAA,
a24Nz000000vkHSIAY,Complete,800Nz000004ULpaIAG,
a24Nz000000vvftIAA,Active,,
a24Nz000000vwvJIAQ,Complete,800Nz000001AjecIAC,
a24Nz000000w18bIAA,Active,800Nz000000yG8RIAU,
a24Nz000000w6ugIAA,Complete,800Nz000001Bp9xIAC,
a24Nz000000w8WfIAI,Complete,8008d000000YoebAAC,
a24Nz000000wBzBIAU,Complete,8008d000000YZZlAAO,
a24Nz000000x041IAA,Active,8008d000000YaonAAC,
a24Nz000000x0SDIAY,Complete,800Nz000002QbNmIAK,
a24Nz000000x293IAA,Active,800Pv00000G4zpaIAB,
a24Nz000000x33VIAQ,Complete,800Nz000002qMT8IAM,
a24Nz000000x50TIAQ,Complete,8008d000000YlGpAAK,
a24Nz000000x5uvIAA,Complete,800Nz000000j8eFIAQ,
a24Nz000000x7n5IAA,Complete,8008d000000YZw6AAG,
a24Nz000000x7tWIAQ,Complete,8008d000000YWnYAAW,
a24Nz000000x81ZIAQ,Complete,800Nz000002NMTNIA4,
a24Nz000000x8KvIAI,Complete,8008d000000Ym26AAC,
a24Nz000000x9KDIAY,Complete,800Nz000000mokEIAQ,
a24Nz000000xAhkIAE,Active,800Pv00000G55qUIAR,
a24Nz000000xC5BIAU,Active,800Nz0000045ir0IAA,
a24Nz000000xEzpIAE,Complete,8008d000000YeT3AAK,
a24Nz000000xFJBIA2,Cancelled,8008d000000YbmGAAS,
a24Nz000000xHZVIA2,Complete,8008d000000Ye05AAC,
a24Nz000000xIXBIA2,Active,800Pv00000GEvoMIAT,
a24Nz000000xJHzIAM,Complete,800Nz0000015QxYIAU,
a24Nz000000xLGXIA2,Active,800Nz000001o46KIAQ,
a24Nz000000xLI9IAM,Cancelled,800Nz000001o46KIAQ,
a24Nz000000xMJ3IAM,Complete,8008d000000YcAJAA0,
a24Nz000000xMNtIAM,Complete,8008d000000YfSSAA0,
a24Nz000000xZzSIAU,Closed - Tenant Retained,8008d000000Yjr2AAC,
a24Nz000000xb8PIAQ,Complete,8008d000000YdVBAA0,
a24Nz000000xcajIAA,Complete,800Nz000004QSstIAG,
a24Nz000000xd2AIAQ,Complete,800Nz000001oDazIAE,
a24Nz000000xdgTIAQ,Complete,8008d000000YJD2AAO,
a24Nz000000xdjhIAA,Complete,800Nz000001A1qSIAS,
a24Nz000000xf5aIAA,Complete,800Nz00000257FxIAI,
a24Nz000000xff3IAA,Complete,8008d000000Y2DtAAK,
a24Nz000000xgKzIAI,Complete,800Nz000000z3KPIAY,
a24Nz000000xhCDIAY,Complete,8008d000000YekTAAS,
a24Nz000000xkLNIAY,Complete,8008d000000YkMUAA0,
a24Nz000000xsScIAI,Closed - Tenant Retained,800Nz000001IDCpIAO,800Pv00000G4zIRIAZ
a24Nz000000xuJ8IAI,Complete,8008d000000YdWFAA0,
a24Nz000000xwb3IAA,Complete,8008d000000YCX9AAO,
a24Nz000000xx5hIAA,Cancelled,800Nz000001rJ7FIAU,800Pv00000G57hzIAB
a24Nz000000y9YHIAY,Complete,8008d000000YRIfAAO,
a24Nz000000yAkTIAU,Complete,8008d000000YluGAAS,
a24Nz000000yAvlIAE,Complete,8008d000000Yf9pAAC,
a24Nz000000yHfVIAU,Closed - Tenant Retained,800Nz000007jPBJIA2,
a24Nz000000yLXpIAM,Complete,8008d000000YouUAAS,
a24Nz000000ySKnIAM,Active,8008d000000YNCgAAO,
a24Nz000000yUjBIAU,Close - NTQ Denied,8008d000000YamSAAS,
a24Nz000000ynlqIAA,Complete,800Nz000002SEbiIAG,
a24Nz000000yoYDIAY,Active,8008d000000YmnpAAC,
a24Nz000000yrRFIAY,Complete,800Nz000003ALubIAG,
a24Nz000000ytknIAA,Complete,8008d000000YgBiAAK,
a24Nz000000yy1JIAQ,Complete,8008d000000YQfsAAG,
a24Nz000000z0XlIAI,Complete,8008d000000YnmKAAS,
a24Nz000000z0j3IAA,Complete,8008d000000Yns3AAC,
a24Nz000000z0pVIAQ,Complete,8008d000000YkXmAAK,
a24Nz000000zKTFIA2,Active,8008d000000YXG6AAO,
a24Nz000000zLvZIAU,Complete,8008d000000YejpAAC,
a24Nz000000zMDJIA2,Active,8008d000000YY1NAAW,
a24Nz000000zo6LIAQ,Complete,8008d000000YZhLAAW,
a24Nz0000010FPtIAM,Complete,8008d000000YekOAAS,
a24Nz0000010FjFIAU,Complete,8008d000000Ydv0AAC,
a24Nz0000010G7RIAU,Active,800Nz000000gdLGIAY,
a24Nz0000010GXFIA2,Complete,8008d000000YbSaAAK,
a24Nz0000010J8XIAU,Complete,8008d000000YgozAAC,
