id,Tenancy__r:Contract:PMS_Reference__c,ownerid,accountid,recordtypeid,unit__c,status,startdate,tenancy_end_date__c,agreement_type__c,document_type__c,memorandum_of_agreement_date__c,actual_move_out_date__c,uplift_percentage__c,security_deposit_amount__c,break_clause__c,special_clauses__c,special_clause_free_text__c,vehicle_make__c,vehicle_model__c,vehicle_registration__c,opportunity__c,pms_reference__c
800Nz00000CcLHUIA3,222792056001,0054J000004vXOqQAM,001Nz00000AUjjVIAT,012Pv0000027CJSIA2,a1GNz000001HPCjMAO,Draft,2024-06-22,2027-06-21,AST,AST,,,4.00,1065,2 at 10 to expire at 12,,,,,,006Nz00000AEYQfIAP,222792056001
800Nz00000CcZIxIAN,222788093001,0054J000004vXOqQAM,001Nz00000AYld8IAD,012Pv0000027CJSIA2,a1GNz0000019DohMAE,Activated,2024-06-15,2025-06-14,AST,AST,,,4.00,1560,No Break,,,,,,006Nz00000AImDKIA1,222788093001
800Nz00000CcbvtIAB,222788221001,0054J000004vXPBQA2,001Nz00000BEIhxIAH,012Pv0000027CJSIA2,a1GNz0000019HAlMAM,Activated,2024-06-29,2025-06-28,AST,AST,,,4.00,1615,No Break,,,,,,006Nz00000AxnQOIAZ,222788221001
800Nz00000Ccx9uIAB,222788006001,0054J000004vXPBQA2,001Nz00000BUt8nIAD,012Pv0000027CJSIA2,a1GNz0000019GGHMA2,Activated,2024-06-12,2025-06-11,AST,AST,,,4.00,1970,No Break,,,,,,006Nz00000BERBhIAP,222788006001
800Nz00000CdM4zIAF,222756007002,0054J000004vXOaQAM,001Nz000008Ny6vIAC,012Pv0000027CJSIA2,a1GNz0000000vntMAA,Activated,2024-05-27,2025-05-26,Licence,Parking Licence,,,6.00,0,No Break,,,,,,006Nz00000Baea7IAB,222756007002
800Nz00000CfD45IAF,222683127003,0058d0000034SvqAAE,001Nz00000AmI9lIAF,012Pv0000027CJSIA2,a1G8d0000004XjXEAU,Draft,2024-06-17,2026-06-16,AST,AST,,,4.00,1395,2 at 10 to expire at 12,,,,,,006Nz00000AW7gXIAT,222683127003
800Nz00000CfF1CIAV,122601005012,0054J000004vXOaQAM,001Nz00000BaYwGIAV,012Pv0000027CJSIA2,a1G4J0000025wrtUAA,Activated,2024-06-29,2025-06-28,AST,AST,,,4.00,1430,No Break,,,,,,006Nz00000BJmvTIAT,122601005012
800Nz00000CfN3QIAV,122486008009,0054J000005JWtDQAW,001Nz00000BdGWXIA3,012Pv0000027CJSIA2,a1G4J0000025wVrUAI,Activated,2024-06-03,2025-06-02,AST,AST,,,4.00,1875,No Break,,,,,,006Nz00000BMMlEIAX,122486008009
800Nz00000CfSW6IAN,222683127003,0058d0000034SvqAAE,001Nz00000AmI9lIAF,012Pv0000027CJSIA2,a1G8d0000004XjXEAU,Draft,2024-06-17,2026-06-16,AST,,,,4.00,1395,2 at 10 to expire at 12,,,,,,006Nz00000AW7gXIAT,222683127003
800Nz00000CfT2NIAV,222792008002,0054J000004vXOqQAM,001Nz00000BV8HXIA1,012Pv0000027CJSIA2,a1GNz000001HOBpMAO,Activated,2024-05-23,2025-05-22,AST,AST,,,0.00,1035,2 at 6 to expire at 8,,,,,,006Nz00000BEf3OIAT,222792008002
800Nz00000Cffy1IAB,222683140002,0058d0000034SvqAAE,001Nz00000B1JWyIAN,012Pv0000027CJSIA2,a1G8d0000004Xg6EAE,Activated,2024-06-17,2026-06-16,AST,AST,,,4.00,1415,2 at 10 to expire at 12,,,,,,006Nz00000AlFM2IAN,222683140002
800Nz00000Cfjf8IAB,222683041004,0058d0000034SvqAAE,001Nz00000ALjFiIAL,012Pv0000027CJSIA2,a1G8d0000004XeNEAU,Activated,2024-06-08,2026-06-07,AST,AST,,,4.00,1045,2 at 10 to expire at 12,,,,,,006Nz00000A5WMWIA3,222683041004
800Nz00000Cg1NRIAZ,222756008001,0054J000004vXOaQAM,001Nz00000AMC3BIAX,012Pv0000027CJSIA2,a1GNz0000000vsjMAA,Draft,2024-05-27,2025-05-26,Licence,Parking Licence,,,6.00,0,No Break,,,,,,006Nz00000BclyrIAB,222756008001
800Nz00000CgCnkIAF,222758217001,0054J000005JWtDQAW,001Nz00000BXMQ4IAP,012Pv0000027CJSIA2,a1GNz00000015s5MAA,Activated,2024-05-28,2025-05-27,AST,AST,,,4.00,995,No Break,,,,,,006Nz00000BGqdqIAD,222758217001
800Nz00000CgFX0IAN,222623005007,0054J000004vXOqQAM,001Nz00000BcsdlIAB,012Pv0000027CJSIA2,a1G4J0000025yryUAA,Activated,2024-05-24,2025-05-23,AST,AST,,,4.00,1500,No Break,,,,,,006Nz00000BM3LuIAL,222623005007
800Nz00000CgPmNIAV,222792056001,0054J000004vXOqQAM,001Nz00000AUjjVIAT,012Pv0000027CJSIA2,a1GNz000001HPCjMAO,Activated,2024-06-21,2027-06-20,AST,AST,,,4.00,1065,2 at 10 to expire at 12,,,,,,006Nz00000AEYQfIAP,222792056001
800Nz00000CgQiUIAV,222623005007,0054J000004vXOqQAM,001Nz00000BcsdlIAB,012Pv0000027CJSIA2,a1G4J0000025yryUAA,Draft,2024-05-23,2025-05-22,AST,,,,4.00,1500,No Break,,,,,,006Nz00000BM3LuIAL,222623005007
800Nz00000CgRD5IAN,222683127003,0058d0000034SvqAAE,001Nz00000AmI9lIAF,012Pv0000027CJSIA2,a1G8d0000004XjXEAU,Activated,2024-06-14,2026-06-13,AST,AST,,,4.00,1395,2 at 10 to expire at 12,,,,,,006Nz00000AW7gXIAT,222683127003
800Nz00000CgRYCIA3,222792297001,0054J000004vXOqQAM,001Nz00000BLhziIAD,012Pv0000027CJSIA2,a1GNz000001HJk6MAG,Activated,2024-05-28,2025-05-27,AST,AST,,,0.00,1270,2 at 6 to expire at 8,,,,,,006Nz00000B5266IAB,222792297001
800Nz00000CgZi2IAF,222623005007,0054J000004vXOqQAM,001Nz00000BcsdlIAB,012Pv0000027CJSIA2,a1G4J0000025yryUAA,Draft,2024-05-23,2025-05-22,AST,AST,,,4.00,1500,No Break,,,,,,006Nz00000BM3LuIAL,222623005007
800Nz00000Cga8IIAR,222756008001,0054J000004vXOaQAM,001Nz00000AMC3BIAX,012Pv0000027CJSIA2,a1GNz0000000vsjMAA,Activated,2024-06-14,2025-06-13,Licence,Parking Licence,,,6.00,0,No Break,,,,,,006Nz00000BclyrIAB,222756008001
800Nz00000CgxRaIAJ,222488066009,0054J000004vXOaQAM,001Nz00000BaRwDIAV,012Pv0000027CJSIA2,a1G4J0000025y6NUAQ,Activated,2024-07-20,2025-07-19,AST,AST,,,4.00,980,No Break,,,,,,006Nz00000BJiwfIAD,222488066009
800Nz00000Ch376IAB,222488030004,0054J000004vXOaQAM,001Nz00000Bcm5NIAR,012Pv0000027CJSIA2,a1G4J0000025y06UAA,Activated,2024-06-03,2025-06-02,AST,AST,,,4.00,670,No Break,,,,,,006Nz00000BLtmPIAT,222488030004
800Nz00000Ch3nBIAR,222753031001,0054J000004vXOaQAM,001Nz00000BPDvPIAX,012Pv0000027CJSIA2,a1GNz0000000wGwMAI,Activated,2024-06-03,2025-06-02,AST,AST,,,4.00,1085,2 at 4 to expire at 6,,,,,,006Nz00000B8cztIAB,222753031001
