"parent_reference","salesforce_unit_id","cnt"
"127080001002","a1G4J0000025wbpUAA","2"
"222487018005","a1G4J0000025xmoUAA","2"
"103627002001","a1G4J0000025tg6UAA","2"
"318300027001","a1G4J00000262pNUAQ","2"
"222580027007","a1G4J0000025yciUAA","2"
"317585041003","a1G4J000002635ZUAQ","2"
"115496002002","a1G4J0000025w9lUAA","2"
"222700028002","a1G8d0000004qk9EAA","2"
"418565056003","a1G4J0000025zpfUAA","3"
"110461001001","a1G4J0000025v6JUAQ","2"
"222749099001","a1GNz0000000dRBMAY","4"
"115724001003","a1G4J0000025w4vUAA","2"
"114080002003","a1G4J0000025w2aUAA","2"
"127606001001","a1G4J0000025xJOUAY","2"
"127562001001","a1G4J0000025xSUUAY","2"
"108045009001","a1G4J0000025uOEUAY","2"
"318293047002","a1G4J0000025zViUAI","2"
"222537004001","a1G4J0000025xpMUAQ","2"
"222623027003","a1G4J0000025ywiUAA","2"
"104721021005","a1G4J0000025uHOUAY","2"
"222580032004","a1G4J0000025xoqUAA","2"
"111867217003","a1G4J00000262CUUAY","2"
"107570008001","a1G4J00000261h2UAA","2"
"222490029006","a1G4J0000025xtiUAA","2"
"418547001002","a1G4J0000025zZ4UAI","3"
"222708190002","a1G8d0000005rFzEAI","2"
"222639057004","a1G4J0000025zHOUAY","2"
"222744005001","a1G8d000002QBKyEAO","2"
"317355042003","a1G4J0000025yzNUAQ","2"
"110552001003","a1G4J0000025vHDUAY","2"
"317384013002","a1G4J00000262jnUAA","2"
"418550015005","a1G4J0000025zPNUAY","2"
"104112002004","a1G4J00000261WEUAY","2"
"122486088006","a1G4J0000025wgeUAA","3"
"217093011003","a1G4J0000025vBuUAI","2"
"217117011002","a1G4J0000025xjrUAA","2"
"217371040008","a1G4J0000025wYMUAY","3"
"103662003001","a1G4J00000261T0UAI","3"
"418551037006","a1G4J0000025zcuUAA","2"
"112367001001","a1G4J0000025vpOUAQ","2"
"122506103001","a1G4J0000025x4MUAQ","2"
"112389002002","a1G4J0000025vpiUAA","2"
"222749230001","a1GNz0000000eWwMAI","3"
"222630042003","a1G4J0000025zMlUAI","2"
"114104001003","a1G4J0000025wChUAI","2"
"110453001004","a1G4J0000025uclUAA","2"
"111868149003","a1G4J000002625oUAA","2"
"317678013003","a1G4J0000025yjdUAA","2"
"127283012001","a1G4J0000025xIcUAI","2"
"222630141005","a1G4J0000025yy7UAA","2"
"109788043002","a1G4J0000025vA7UAI","2"
"222741083001","a1G8d000002Q2TwEAK","3"
"222579084006","a1G4J0000025z60UAA","2"
"111867218004","a1G4J00000262CeUAI","2"
"114757001003","a1G4J0000025wBhUAI","2"
"114635001002","a1G4J0000025vpaUAA","2"
"110840001002","a1G4J0000025vQTUAY","2"
"107413005001","a1G4J0000025u5rUAA","2"
"112416001004","a1G4J0000025vqlUAA","2"
"127262127002","a1G4J0000025wvkUAA","2"
"110483001002","a1G4J0000025uGqUAI","2"
"222522034007","a1G4J0000025yD6UAI","2"
"222630010003","a1G4J0000025zGSUAY","2"
"317678007004","a1G4J0000025yiXUAQ","2"
"127603001001","a1G4J0000025xcJUAQ","2"
