Id,Unit__c,StartDate,Tenancy_End_Date__c
800Pv00000FzfKoIAJ,a1G4J0000025vWDUAY,1976-12-25,2167-03-24
800Pv00000FzfKpIAJ,a1G4J0000025vWSUAY,1935-01-01,2933-12-31
800Pv00000FzfKvIAJ,a1G4J0000025vWoUAI,1934-03-01,2933-02-28
800Pv00000FzfL1IAJ,a1G4J0000025vXGUAY,1935-01-01,2933-12-31
800Pv00000FzfL4IAJ,a1G4J0000025vXkUAI,1971-06-24,2970-06-23
800Pv00000FzfL7IAJ,a1G4J0000025vYEUAY,1902-02-27,2901-02-26
800Pv00000FzfL8IAJ,a1G4J0000025vYGUAY,1976-12-25,2134-12-24
800Pv00000FzfLEIAZ,a1G4J0000025vYSUAY,1902-02-27,2901-02-26
800Pv00000FzfLIIAZ,a1G4J0000025vYsUAI,1976-03-25,2101-03-24
800Pv00000FzfLKIAZ,a1G4J0000025vYvUAI,2006-09-29,2131-09-28
800Pv00000FzfLPIAZ,a1G4J0000025vZ7UAI,2007-06-07,2147-12-24
800Pv00000FzfLTIAZ,a1G4J0000025vZJUAY,1934-03-01,2933-02-28
800Pv00000FzfLXIAZ,a1G4J0000025vZQUAY,1935-01-01,2933-12-28
800Pv00000FzfLZIAZ,a1G4J0000025vZWUAY,1935-01-01,2933-12-31
800Pv00000FzfLfIAJ,a1G4J0000025vZmUAI,1934-03-01,2933-02-28
800Pv00000FzfLgIAJ,a1G4J0000025vZnUAI,1976-03-25,2101-03-24
800Pv00000FzfLhIAJ,a1G4J0000025vZoUAI,1987-09-29,2086-09-28
800Pv00000FzfLjIAJ,a1G4J0000025vZqUAI,2007-06-24,2132-06-23
800Pv00000FzfLkIAJ,a1G4J0000025vZrUAI,1950-12-25,2949-12-24
800Pv00000FzfQfIAJ,a1G4J0000025vwLUAQ,1981-03-25,2191-03-24
800Pv00000FzfQgIAJ,a1G4J0000025vwxUAA,2023-11-30,2026-11-29
800Pv00000FzfQhIAJ,a1G4J0000025w25UAA,1981-03-25,2191-03-24
800Pv00000FzfQiIAJ,a1G4J0000025w2KUAQ,2020-10-22,2026-10-21
800Pv00000FzfQjIAJ,a1G4J0000025w7VUAQ,2024-04-14,2025-04-13
800Pv00000FzfQkIAJ,a1G4J0000025wCoUAI,2003-09-29,2192-09-28
