product2id,pricebook2id,unitprice,rent_periodicity__c,isactive
01t8d000000ohbxAAA,01sPv0000038lL1IAI,1758.68,Monthly,TRUE
01t8d000000ohbxAAA,01sPv0000038lL2IAI,1767.12,Monthly,TRUE
01t8d000000ohbxAAA,01sPv0000038lKzIAI,1775.89,Monthly,TRUE
01t8d000000ohbxAAA,01sPv0000038lL0IAI,1784.7,Monthly,TRUE
01t8d000000ohbxAAA,01sPv00000246dZIAQ,1792.7,Monthly,TRUE
01t8d000000ohbxAAA,01sPv000002kqTtIAI,1801.59,Monthly,TRUE
01t8d000000ohbxAAA,01sPv000002kqTuIAI,1810.24,Monthly,TRUE
01t8d000000ohbxAAA,01sPv000002kqTvIAI,1819.22,Monthly,TRUE
01t8d000000ohbxAAA,01sPv000002kqTwIAI,1827.95,Monthly,TRUE
01t8d000000ohbxAAA,01sPv000002kqTxIAI,1837.02,Monthly,TRUE
01t8d000000ohbxAAA,01sPv000002kqTyIAI,1846.14,Monthly,TRUE
01t8d000000ohbxAAA,01sPv000002kqTzIAI,1855,Monthly,TRUE
01t8d000000ohcWAAQ,01sPv0000038lL1IAI,1844.1,Monthly,TRUE
01t8d000000ohcWAAQ,01sPv0000038lL2IAI,1852.96,Monthly,TRUE
01t8d000000ohcWAAQ,01sPv0000038lKzIAI,1862.15,Monthly,TRUE
01t8d000000ohcWAAQ,01sPv0000038lL0IAI,1871.39,Monthly,TRUE
01t8d000000ohcWAAQ,01sPv00000246dZIAQ,1879.77,Monthly,TRUE
01t8d000000ohcWAAQ,01sPv000002kqTtIAI,1889.1,Monthly,TRUE
01t8d000000ohcWAAQ,01sPv000002kqTuIAI,1898.17,Monthly,TRUE
01t8d000000ohcWAAQ,01sPv000002kqTvIAI,1907.58,Monthly,TRUE
01t8d000000ohcWAAQ,01sPv000002kqTwIAI,1916.74,Monthly,TRUE
01t8d000000ohcWAAQ,01sPv000002kqTxIAI,1926.25,Monthly,TRUE
01t8d000000ohcWAAQ,01sPv000002kqTyIAI,1935.81,Monthly,TRUE
