"pms_reference","opportunity_id","opportunity_agreement_type","tenancy_agreement_type"
"222583054007","006Nz00000Jxks1IAB","Parking Licence","Licence"
"222583055006","006Nz00000JUvFgIAL","Parking Licence","Licence"
"222583056004","006Nz00000D7gKpIAJ","Parking Licence","Licence"
"222583056004","006Nz00000RqPAyIAN","Parking Licence","Licence"
"222583057006","006Nz00000TJG5FIAX","Parking Licence","Licence"
"222583058004","006Nz00000JV7VQIA1","Parking Licence","Licence"
"222583059005","006Nz00000D7vDNIAZ","Parking Licence","Licence"
"222583059005","006Nz00000Lz3cqIAB","Parking Licence","Licence"
"222583059005","006Nz00000SYcCbIAL","Parking Licence","Licence"
"222583060004","006Nz00000IUNEXIA5","Parking Licence","Licence"
"222583061004","006Nz00000DVn1sIAD","Parking Licence","Licence"
"222583061004","006Nz00000ScrEhIAJ","Parking Licence","Licence"
"222583062005","006Nz00000Cc06cIAB","Parking Licence","Licence"
"222583062005","006Nz00000GvXUKIA3","Parking Licence","Licence"
"222583062005","006Nz00000R7kJYIAZ","Parking Licence","Licence"
"222583064006","006Nz00000RYMJVIA5","Parking Licence","Licence"
"222583066005","006Nz00000EhMVHIA3","Parking Licence","Licence"
"222583066005","006Nz00000T7IlzIAF","Parking Licence","Licence"
"222583067009","006Nz00000CDCdxIAH","Parking Licence","Licence"
"222583067009","006Nz00000QY4oeIAD","Parking Licence","Licence"
"222583068004","006Nz00000EK92HIAT","Parking Licence","Licence"
"222583068004","006Nz00000SzODZIA3","Parking Licence","Licence"
"222583069005","006Nz00000BXZtVIAX","Parking Licence","Licence"
"222583069005","006Nz00000GPztbIAD","Parking Licence","Licence"
"222583069005","006Nz00000PmAOgIAN","Parking Licence","Licence"
"222583071006","006Nz00000DVmQhIAL","Parking Licence","Licence"
"222583071006","006Nz00000RxKhjIAF","Parking Licence","Licence"
"222583072002","006Nz00000JUeOWIA1","Parking Licence","Licence"
"222583074007","006Nz00000QooIoIAJ","Parking Licence","Licence"
"222583075006","006Nz000009E4HwIAK","Parking Licence","Licence"
"222583075006","006Nz00000NAiKPIA1","Parking Licence","Licence"
