id,Tenancy__r:Contract:PMS_Reference__C
a24Nz00000512GDIAY,222708220002
a24Nz000003fIiPIAU,222708217002
a24Nz000004XSJNIA4,222708202003
a24Nz000004DNFpIAO,222708196001
a24Nz000004cQ2PIAU,222708193004
a24Nz000004pJG1IAM,222708189003
a24Nz000004KBeXIAW,222708181001
a24Nz000005123JIAQ,222708179002
a24Nz000004zNrpIAE,222708177002
a24Nz000004KC2jIAG,222708168003
a24Nz000004iRVFIA2,222708161001
a24Nz0000050bhRIAQ,222708158001
a24Nz000004UhJlIAK,222708154001
a24Nz0000050Ii1IAE,222708150002
a24Nz000004JX61IAG,222708124003
a24Nz000004QCxhIAG,222708116002
a24Nz000004HOziIAG,222708114001
a24Nz0000042XvFIAU,222708110002
a24Nz000004apWNIAY,222708106002
a24Nz000004dfvRIAQ,222708102001
a24Nz0000051v4bIAA,222708098001
a24Nz000004VT0DIAW,222708096001
a24Nz000004kxijIAA,222708090001
a24Nz000004ukx8IAA,222708083001
a24Nz000004iTyTIAU,222708071002
a24Nz000004nGe1IAE,222708068004
a24Nz000004jDTRIA2,222708066002
a24Nz000004fEPhIAM,222708064001
a24Nz000004jGPhIAM,222708060002
a24Nz000004qh9qIAA,222708058002
a24Nz0000050c5dIAA,222708052002
a24Nz000004srrSIAQ,222708023002
a24Nz00000332oLIAQ,222708022001
a24Nz000004gZDZIA2,222708014003
a24Nz000004qlbdIAA,222708011001
a24Nz000004bvY5IAI,222699014001
a24Nz000004VSk5IAG,222697107001
a24Nz0000050ZkUIAU,222697031001
a24Nz000004rTsnIAE,222695013001
a24Nz000004lgvxIAA,222693019001
a24Nz000004jwYjIAI,222692007003
a24Nz000004of5hIAA,222692003001
a24Nz000004lhonIAA,222687007001
a24Nz000004oBZ3IAM,222687005005
a24Nz000003x05VIAQ,222686142002
a24Nz00000516IEIAY,222686112007
a24Nz000004pL1hIAE,222686082003
a24Nz00000515kLIAQ,222686056003
a24Nz000004DzWPIA0,222686051002
a24Nz000004xvZRIAY,222686026004
a24Nz000004Nf8DIAS,222686025002
a24Nz0000050z73IAA,222686008003
a24Nz000004xxhhIAA,222685064002
a24Nz000004lBTxIAM,222685056003
a24Nz000004yrojIAA,222685052002
a24Nz000004S7AjIAK,222685051001
a24Nz000004x9crIAA,222685050004
a24Nz000004whwkIAA,222685026004
a24Nz000004T2IfIAK,222685019001
a24Nz000004kAAAIA2,222685009003
a24Nz000004xiFdIAI,222685006003
a24Nz000004cIUfIAM,222683216003
a24Nz000004qvUXIAY,222683213003
a24Nz000004IFKrIAO,222683209003
a24Nz000004j6jiIAA,222683191004
a24Nz000004TkefIAC,222683186002
a24Nz000004ypmwIAA,222683185004
a24Nz000004bvkzIAA,222683183003
a24Nz000004vn9lIAA,222683179002
a24Nz0000048gMLIAY,222683168002
a24Nz000004tPI1IAM,222683161002
a24Nz000004iaa9IAA,222683159002
a24Nz000004iXafIAE,222683158003
a24Nz0000044GBxIAM,222683155003
a24Nz000004KNivIAG,222683145001
a24Nz000004bfGPIAY,222683137009
a24Nz000004YGfxIAG,222683127003
a24Nz000004k541IAA,222683116002
a24Nz000004vhXNIAY,222683113002
a24Nz000004bypJIAQ,222683105001
a24Nz000004hiMrIAI,222683104003
a24Nz000004wi4nIAA,222683100003
a24Nz000004YAPFIA4,222683099003
a24Nz000004bcjxIAA,222683098001
a24Nz000004L1tFIAS,222683092006
a24Nz000004um2rIAA,222683083002
a24Nz000004nGirIAE,222683071002
a24Nz000004wQe9IAE,222683039001
a24Nz000004ghhNIAQ,222683037004
a24Nz000004cO2DIAU,222683031001
a24Nz000004PmGsIAK,222683024002
a24Nz000004UXQrIAO,222683011002
a24Nz000004fLm9IAE,222678053003
a24Nz000004eWdBIAU,222678050002
a24Nz0000050YEvIAM,222678046004
a24Nz000004hKveIAE,222677113005
a24Nz0000051X90IAE,222677110005
a24Nz000004uzL3IAI,222677109002
a24Nz000004xKA5IAM,222677102004
a24Nz000004iQsXIAU,222677090003
a24Nz000004N9bNIAS,222677084003
a24Nz000004uY9ZIAU,222677058005
a24Nz000004WlW9IAK,222677052005
a24Nz000004xmvxIAA,222677027003
a24Nz000004xkNuIAI,222677020004
a24Nz000004OwYPIA0,222677006003
a24Nz0000050bEPIAY,222676100004
a24Nz000004rOLGIA2,222676091004
a24Nz000004rGIrIAM,222676040003
a24Nz000004WktSIAS,222676027006
a24Nz000004ujbFIAQ,222676023003
a24Nz000004ukc9IAA,222668066004
a24Nz000004rNx3IAE,222668025003
a24Nz000004TrGLIA0,222668024002
a24Nz000004WnHpIAK,222668019003
a24Nz000004qd9RIAQ,222668018004
a24Nz000004jly9IAA,222668015002
a24Nz000004XajxIAC,222668004002
a24Nz000004jkxFIAQ,222666227002
a24Nz0000048thlIAA,222666227002
a24Nz000004pQNxIAM,222666226002
a24Nz0000051w3tIAA,222666210006
a24Nz000004yFebIAE,222666209003
a24Nz000004iyhJIAQ,222666208002
a24Nz000004ToLhIAK,222666203002
a24Nz000004ecSTIAY,222666184003
a24Nz000004iW58IAE,222666164002
a24Nz000004oo5lIAA,222666156002
a24Nz000004hd2EIAQ,222666154003
a24Nz000004kBhJIAU,222666117003
a24Nz000004SgYHIA0,222666111002
a24Nz000004Yog1IAC,222666084006
a24Nz000004qc8XIAQ,222666046004
a24Nz00000527DpIAI,222666035003
a24Nz000004dMkjIAE,222666024003
a24Nz000004Rn2LIAS,222666023001
a24Nz000004vUblIAE,222666013003
a24Nz00000510MTIAY,222666007001
a24Nz000004uheIIAQ,222666005002
a24Nz000004tSuDIAU,222664066003
a24Nz000004DKWUIA4,222664043002
a24Nz000004qf81IAA,222661026002
a24Nz000004eTfJIAU,222661014002
a24Nz000004qiYvIAI,222661003004
a24Nz000004vZtBIAU,222659117003
a24Nz000004VRrFIAW,222659063003
a24Nz000004qeThIAI,222659058003
a24Nz000003yLavIAE,222659025003
a24Nz000004uwOnIAI,222652106006
a24Nz000004qeBxIAI,222652097006
a24Nz000004peqjIAA,222652087003
a24Nz000004stwTIAQ,222652063006
a24Nz000004qx6XIAQ,222652059004
a24Nz000004qvRJIAY,222652036001
a24Nz000004qvBBIAY,222652021002
a24Nz000004EerJIAS,222650096002
a24Nz000004QVlpIAG,222650095003
a24Nz000004hNwjIAE,222650092004
a24Nz0000048ZazIAE,222650091004
a24Nz000004wQkbIAE,222650084001
a24Nz000004uis5IAA,222650073003
a24Nz0000042vSwIAI,222650058002
a24Nz000004cQQcIAM,222650028003
a24Nz000004YJFdIAO,222650027003
a24Nz000004qu0bIAA,222650022001
a24Nz0000049Kq1IAE,222650006005
a24Nz000003vMZxIAM,222649072003
a24Nz000004rM05IAE,222649066002
a24Nz000003zYuHIAU,222649065003
a24Nz000004ssfRIAQ,222649043003
a24Nz000004qhTBIAY,222649041002
a24Nz00000529ynIAA,222649034002
a24Nz0000051CgzIAE,222649025005
a24Nz000004d1oLIAQ,222649022002
a24Nz000004SmvRIAS,222649017001
a24Nz000004ZkQfIAK,222649016002
a24Nz000004yI7pIAE,222649011001
a24Nz000004Sm4DIAS,222648190004
a24Nz000004qe5VIAQ,222648185005
a24Nz000004gEx7IAE,222648180004
a24Nz000004v8MjIAI,222648173003
a24Nz000004pM2bIAE,222648160003
a24Nz0000052N0rIAE,222648156003
a24Nz000004uwGjIAI,222648155002
a24Nz000004tWwDIAU,222648154003
a24Nz000004T5bWIAS,222648150003
a24Nz000004foRZIAY,222648130003
a24Nz000004ReiDIAS,222648129004
a24Nz000004OyvBIAS,222648124003
a24Nz000004VHTiIAO,222648098004
a24Nz000004zP8rIAE,222648095003
a24Nz000004omLhIAI,222648093003
a24Nz000003ClkbIAC,222648086002
a24Nz000004YADxIAO,222648077004
a24Nz000004Zut3IAC,222648072003
a24Nz000004tXInIAM,222648050003
a24Nz0000051vFtIAI,222648042003
a24Nz000004eUQ6IAM,222648032004
a24Nz000004fKZxIAM,222648028001
a24Nz0000052OEfIAM,222648026002
a24Nz000004vf2XIAQ,222648006003
a24Nz000004HAYXIA4,222643084002
a24Nz000004zdTZIAY,222643063002
a24Nz000004ZbGvIAK,222643048003
a24Nz000004xsi1IAA,222643003001
a24Nz0000051uq5IAA,222643001003
a24Nz000004d9abIAA,222640121004
a24Nz000003jHNyIAM,222640101002
a24Nz000004jCNhIAM,222640090002
a24Nz000004nIKsIAM,222640076003
a24Nz0000051wWvIAI,222640046003
a24Nz000004veeLIAQ,222640025004
a24Nz000004syw9IAA,222640012002
a24Nz000004g1lNIAQ,222640004003
a24Nz000004fzy5IAA,222639132002
a24Nz000004VBBNIA4,222639126001
a24Nz000004jyk5IAA,222639124004
a24Nz000004co7xIAA,222639118005
a24Nz000004sxvFIAQ,222639116003
a24Nz000004vVnyIAE,222639110002
a24Nz0000051th8IAA,222639098003
a24Nz000004sY2PIAU,222639090004
a24Nz000003jCUjIAM,222639083005
a24Nz000004veBJIAY,222639072002
a24Nz000004YE33IAG,222639054004
a24Nz0000044uR7IAI,222639042005
a24Nz000004ndynIAA,222639036003
a24Nz000004cwWvIAI,222639025003
a24Nz000004eABFIA2,222631042003
a24Nz0000050Z6BIAU,222631001005
a24Nz000004xqBZIAY,222630226006
a24Nz0000051rtpIAA,222630224005
a24Nz000004ncHxIAI,222630215006
a24Nz000004oBafIAE,222630202001
a24Nz000004vqXRIAY,222630185003
a24Nz000004lBFRIA2,222630184003
a24Nz000004RfETIA0,222630176003
a24Nz0000051wDZIAY,222630174004
a24Nz000004S2z4IAC,222630150004
a24Nz000004YpozIAC,222630139005
a24Nz000004n01NIAQ,222630125007
a24Nz000004cO8fIAE,222630120002
a24Nz000004usbJIAQ,222630084002
a24Nz000004xuFBIAY,222630082002
a24Nz000004kcmMIAQ,222630076002
a24Nz000004IrGTIA0,222630070004
a24Nz0000050d3JIAQ,222630051006
a24Nz000004zO4jIAE,222630039007
a24Nz000004UVIbIAO,222630023002
a24Nz000004xoZaIAI,222630022006
a24Nz000004xsbZIAQ,222630014002
a24Nz0000050OInIAM,222630009004
a24Nz000004cOwfIAE,222630008004
a24Nz000004s9wrIAA,222630004003
a24Nz000004iPLNIA2,222630001003
a24Nz0000045hGXIAY,222629064003
a24Nz000004AnA1IAK,222629053004
a24Nz000004sEDNIA2,222629036004
a24Nz00000511TpIAI,222629032005
a24Nz000004x8nFIAQ,222629025005
a24Nz000004JciPIAS,222629019005
a24Nz000004wkJVIAY,222629017004
a24Nz000004qoKzIAI,222624064004
a24Nz000004AlszIAC,222624060004
a24Nz000004x8yXIAQ,222624048005
a24Nz000004U2uwIAC,222624038003
a24Nz000004qqkzIAA,222624033005
a24Nz0000046UtxIAE,222624032001
a24Nz0000050ec5IAA,222624026002
a24Nz000004wjX7IAI,222624007004
a24Nz000004emDJIAY,222623116003
a24Nz000004khVtIAI,222623112004
a24Nz000004XpFxIAK,222623101002
a24Nz000004pRdNIAU,222623097003
a24Nz000004ue0TIAQ,222623096008
a24Nz000004qtsXIAQ,222623078001
a24Nz000003KuxBIAS,222623068005
a24Nz0000045eKHIAY,222623051004
a24Nz000004ProPIAS,222623047001
a24Nz000004uauXIAQ,222623046004
a24Nz000004Jo8TIAS,222623045001
a24Nz000004JcdZIAS,222623039002
a24Nz00000515qnIAA,222623030004
a24Nz0000050aztIAA,222623022006
a24Nz000004pSj7IAE,222623017004
a24Nz000004vuw1IAA,222623016002
a24Nz000004xfCvIAI,222623008010
a24Nz000004ZBPhIAO,222611021003
a24Nz000004eXJ7IAM,222606003005
a24Nz000004j8dRIAQ,222601014004
a24Nz000004YtiwIAC,222598001005
a24Nz000004VT8HIAW,222597001003
a24Nz000004rSLvIAM,222583124003
a24Nz000004bcyTIAQ,222583091004
a24Nz000004zOazIAE,222583076005
a24Nz0000052OPxIAM,222583072002
a24Nz000004S0XRIA0,222583067009
a24Nz000004pYOjIAM,222583062005
a24Nz000004pYbdIAE,222583054007
a24Nz000004eg1RIAQ,222583047004
a24Nz000004pTvJIAU,222583044006
a24Nz000004tSNxIAM,222583042005
a24Nz000004cnAHIAY,222581094005
a24Nz000004xHs9IAE,222581060002
a24Nz000003xuR3IAI,222581019001
a24Nz000004vgrSIAQ,222581009002
a24Nz000004be5pIAA,222580116003
a24Nz000004j83xIAA,222580110004
a24Nz000004jEe1IAE,222580081005
a24Nz000004omQXIAY,222580078005
a24Nz000004jB8HIAU,222580049002
a24Nz000004iZivIAE,222580046004
a24Nz000004Dq6XIAS,222580031005
a24Nz000004x65VIAQ,222579152005
a24Nz000004pikfIAA,222579128006
a24Nz000004hkZxIAI,222579097004
a24Nz000004WwZdIAK,222579096005
a24Nz000004ebWPIAY,222579089007
a24Nz000004viMzIAI,222579088002
a24Nz000004QQmAIAW,222579083002
a24Nz000004QgniIAC,222579081002
a24Nz000004kYkNIAU,222579056003
a24Nz000004lc2jIAA,222579046004
a24Nz000004wvbXIAQ,222579038004
a24Nz000004vqh7IAA,222579029005
a24Nz000004TuqvIAC,222579009004
a24Nz000004lbZhIAI,222579004002
a24Nz000004phTdIAI,222578119006
a24Nz000004UngvIAC,222578066006
a24Nz000004j6tNIAQ,222578036006
a24Nz000004nFWfIAM,222578028006
a24Nz000004beH8IAI,222578023003
a24Nz000004svLZIAY,222578010005
a24Nz000004pYWnIAM,222554001003
a24Nz000004iQR7IAM,222521061006
a24Nz000004hMivIAE,222521050002
a24Nz000004xQ2bIAE,222521024005
a24Nz000004h7tZIAQ,222520120005
a24Nz000004wQUTIA2,222520104003
a24Nz00000515M9IAI,222520074005
a24Nz000004cJXBIA2,222520058007
a24Nz0000050a3pIAA,222491170006
a24Nz000004bVc1IAE,222491160006
a24Nz000004vtS5IAI,222491106004
a24Nz000004kSNBIA2,222491091003
a24Nz000004iZSnIAM,222491089006
a24Nz0000051uRtIAI,222491082004
a24Nz000004fHIjIAM,222491077005
a24Nz000004xru1IAA,222491071004
a24Nz0000051sWXIAY,222491043004
a24Nz000004j1iPIAQ,222489032008
a24Nz000004msqDIAQ,222489029001
a24Nz000004y2hNIAQ,222489021005
a24Nz0000050L4oIAE,222489014005
a24Nz000004s354IAA,222489013004
a24Nz000004suNtIAI,222489003005
a24Nz000004iX4PIAU,222488079007
a24Nz000004bdXxIAI,222488063007
a24Nz000004gJyPIAU,222488050005
a24Nz000004j99hIAA,222488038005
a24Nz000004ghvtIAA,222488019006
a24Nz000004iVqbIAE,222488015006
a24Nz000004UXsHIAW,222487057010
a24Nz000004xkpJIAQ,222487056005
