"PMS_Reference__c","tenancy_status__c","status"
"103783005001","Current","Activated"
"103853001004","Current","Activated"
"103861001001","Current","Activated"
"104375002004","Current","Activated"
"103864001001","Current","Activated"
"110700001001","Current","Activated"
"103873001004","Current","Activated"
"104152020002","Current","Activated"
"104441001004","Current","Activated"
"114723005006","Current","Activated"
"114919001002","Current","Activated"
"103867042001","Current","Activated"
"103920006001","Current","Activated"
"103876001004","Current","Activated"
"103887001002","Current","Activated"
"104455040001","Current","Activated"
"103877001003","Current","Activated"
"104023001003","Current","Activated"
"104407008005","Current","Activated"
"103884001003","Current","Activated"
"104363001001","Current","Activated"
"104448001002","Current","Activated"
"104482001004","Current","Activated"
"104808001001","Current","Activated"
"103881001001","Current","Activated"
"103885001002","Current","Activated"
"103896001001","Current","Activated"
"104294001001","Current","Activated"
"104357001003","Current","Activated"
"103910001001","Current","Activated"
"103892001005","Current","Activated"
"112809002004","Current","Activated"
"104410001005","Current","Activated"
"104450001001","Current","Activated"
"104461001001","Current","Activated"
"103894001002","Current","Activated"
"108620009001","Current","Activated"
"103920013003","Current","Activated"
"103928001005","Current","Activated"
"104152017004","Current","Activated"
"104152029003","Current","Activated"
"104294015004","Current","Activated"
"103886001005","Current","Activated"
"107524009004","Current","Activated"
"103907001001","Current","Activated"
"104154029003","Current","Activated"
"104457001005","Current","Activated"
"103895001004","Current","Activated"
"104391002005","Current","Activated"
"107467010002","Current","Activated"
"105099016006","Current","Activated"
"103940001003","Current","Activated"
"103930001001","Current","Activated"
"104094001002","Current","Activated"
"104772008003","Current","Activated"
"104721007002","Current","Activated"
"104722047003","Current","Activated"
"104918001001","Current","Activated"
"103972001003","Current","Activated"
"103980001001","Current","Activated"
"103912001003","Current","Activated"
"104157002001","Current","Activated"
"104126002002","Current","Activated"
"104468001004","Current","Activated"
"104217002003","Current","Activated"
"107208001002","Current","Activated"
"107639001002","Current","Activated"
"110030071001","Current","Activated"
"103898001004","Current","Activated"
"103915001003","Current","Activated"
"104174017003","Current","Activated"
"104564001003","Current","Activated"
"104154044004","Current","Activated"
"104206025002","Current","Activated"
"104186003002","Current","Activated"
"103923001001","Current","Activated"
"104455023001","Current","Activated"
"104174009003","Current","Activated"
"104336002003","Current","Activated"
"103953001001","Current","Activated"
"104174008003","Current","Activated"
"104174045002","Current","Activated"
"104354002001","Current","Activated"
"103909001002","Current","Activated"
"104457045003","Current","Activated"
"103939001001","Current","Activated"
"103936001003","Current","Activated"
"104153004004","Current","Activated"
"105921001001","Current","Activated"
"104164002005","Current","Activated"
"105099074002","Current","Activated"
"105770001002","Current","Activated"
"103918001004","Current","Activated"
"104226004002","Current","Activated"
"110509001003","Current","Activated"
"109989059002","Current","Activated"
"103913001002","Current","Activated"
"107600007001","Current","Activated"
"103919001001","Current","Activated"
"104722007002","Current","Activated"
"105099035005","Current","Activated"
"104503001002","Current","Activated"
"103921001001","Current","Activated"
"104457011001","Current","Activated"
"104502001007","Current","Activated"
"103927001007","Current","Activated"
"104258019001","Current","Activated"
"103929001002","Current","Activated"
"107638001001","Current","Activated"
"108045018004","Current","Activated"
"109044001002","Current","Activated"
